customer_id,first_name,last_name,email,phone_number,city,age_group
1,Khánh,Võ,CUST1@gmail.com,0904332181,Hà Nội,18-25
2,Trang,Vũ,CUST2@gmail.com,0338908386,Thành phố Hồ Chí Minh,18-25
3,Thu,Trần,CUST3@gmail.com,0365423511,Hà Nội,36-45
4,Hà,Ngô,CUST4@gmail.com,0540781618,Đà Nẵng,36-45
5,Thu,Huỳnh,CUST5@gmail.com,0531034131,Hà Nội,36-45
6,Sơn,Phạm,CUST6@gmail.com,0355341928,Hà Nội,46-55
7,Yến,Trần,CUST7@gmail.com,0783503056,Hà Nội,56-65
8,Sơn,Phan,CUST8@gmail.com,0737672423,Thành phố Hồ Chí Minh,65+
9,Ngọc,Đỗ,CUST9@gmail.com,0569653287,Hà Nội,18-25
10,Đức,Huỳnh,CUST10@gmail.com,0326916697,Vinh,18-25
11,Lan,Đặng,CUST11@gmail.com,0984514627,Đà Lạt,36-45
12,Hiền,Đỗ,CUST12@gmail.com,0528148932,Hà Nội,56-65
13,Mai,Phạm,CUST13@gmail.com,0995701543,Đà Lạt,18-25
14,Yến,Phan,CUST14@gmail.com,0971822782,Đà Lạt,46-55
15,Hương,Phạm,CUST15@gmail.com,0383465787,Hà Nội,36-45
16,Trang,Trần,CUST16@gmail.com,0998393010,Hạ Long,36-45
17,Khánh,Vũ,CUST17@gmail.com,0983473829,Hà Nội,46-55
18,Tùng,Đặng,CUST18@gmail.com,0831165667,Hà Nội,65+
19,Kiều,Lê,CUST19@gmail.com,0906513338,Hà Nội,36-45
20,Ngọc,Dương,CUST20@gmail.com,0831781080,Huế,26-35
21,Lan,Võ,CUST21@gmail.com,0367736026,Hà Nội,46-55
22,Khánh,Đặng,CUST22@gmail.com,0768723430,Thành phố Hồ Chí Minh,65+
23,Đức,Trần,CUST23@gmail.com,0700978820,Đà Lạt,18-25
24,Mai,Trương,CUST24@gmail.com,0513619399,Hà Nội,65+
25,Thu,Lê,CUST25@gmail.com,0598543534,Hải Phòng,36-45
26,Hoàng,Phạm,CUST26@gmail.com,0851079911,Thành phố Hồ Chí Minh,26-35
27,Long,Đỗ,CUST27@gmail.com,0713542784,Hải Phòng,18-25
28,Yến,Huỳnh,CUST28@gmail.com,0541241182,Đà Nẵng,65+
29,Trung,Huỳnh,CUST29@gmail.com,0734874016,Hà Nội,36-45
30,Ngọc,Dương,CUST30@gmail.com,0342786801,Hải Phòng,26-35
31,Hà,Hoàng,CUST31@gmail.com,0505982620,Đà Lạt,18-25
32,Duy,Dương,CUST32@gmail.com,0733158692,Hà Nội,26-35
33,Tài,Đặng,CUST33@gmail.com,0360256342,Hà Nội,18-25
34,Nam,Phạm,CUST34@gmail.com,0833754330,Hà Nội,36-45
35,Vinh,Huỳnh,CUST35@gmail.com,0945868501,Hà Nội,36-45
36,Hương,Võ,CUST36@gmail.com,0919655698,Đà Lạt,26-35
37,Ngọc,Bùi,CUST37@gmail.com,0706088356,Hạ Long,56-65
38,Hoàng,Lê,CUST38@gmail.com,0714846564,Hà Nội,65+
39,Hà,Phạm,CUST39@gmail.com,0829946804,Hà Nội,56-65
40,Nam,Trần,CUST40@gmail.com,0557773872,Hà Nội,65+
41,Mai,Phạm,CUST41@gmail.com,0551343320,Vinh,56-65
42,Thảo,Bùi,CUST42@gmail.com,0976936763,Hải Phòng,18-25
43,Kiều,Lê,CUST43@gmail.com,0832870831,Nha Trang,65+
44,Kiều,Dương,CUST44@gmail.com,0589579868,Hà Nội,46-55
45,Ngọc,Đặng,CUST45@gmail.com,0843487347,Hà Nội,36-45
46,Quang,Phạm,CUST46@gmail.com,0758122362,Hà Nội,46-55
47,Quang,Nguyễn,CUST47@gmail.com,0787603669,Đà Lạt,56-65
48,Tài,Trương,CUST48@gmail.com,0870546688,Đà Lạt,46-55
49,Trung,Vũ,CUST49@gmail.com,0346706562,Hạ Long,56-65
50,Tùng,Vũ,CUST50@gmail.com,0506990162,Hà Nội,36-45
51,Yến,Ngô,CUST51@gmail.com,0853755646,Hà Nội,18-25
52,Trung,Nguyễn,CUST52@gmail.com,0505310033,Đà Nẵng,26-35
53,Long,Trương,CUST53@gmail.com,0371937452,Vinh,65+
54,Thu,Đặng,CUST54@gmail.com,0924190496,Hà Nội,56-65
55,Diệu,Bùi,CUST55@gmail.com,0314919058,Hà Nội,56-65
56,Diệu,Lê,CUST56@gmail.com,0706716572,Cần Thơ,65+
57,Tùng,Phạm,CUST57@gmail.com,0798776945,Nha Trang,18-25
58,Bảo,Ngô,CUST58@gmail.com,0773799650,Hà Nội,46-55
59,Đức,Phạm,CUST59@gmail.com,0354549480,Hà Nội,65+
60,Hà,Phạm,CUST60@gmail.com,0878377701,Hà Nội,26-35
61,Anh,Hoàng,CUST61@gmail.com,0795788568,Cần Thơ,36-45
62,Phương,Phạm,CUST62@gmail.com,0743135182,Cần Thơ,36-45
63,Linh,Huỳnh,CUST63@gmail.com,0589413435,Hà Nội,56-65
64,Tùng,Nguyễn,CUST64@gmail.com,0340084271,Thành phố Hồ Chí Minh,46-55
65,Thu,Vũ,CUST65@gmail.com,0875204711,Hà Nội,65+
66,Thắng,Võ,CUST66@gmail.com,0922941318,Đà Nẵng,56-65
67,Khánh,Trương,CUST67@gmail.com,0386774964,Hà Nội,65+
68,Ngọc,Lê,CUST68@gmail.com,0933412328,Hà Nội,46-55
